Was ist eine 1:1 Relation?; Eine 1:1 Relation ist eine Relation in der eine der beiden Tabellen den Primärschlüssel der anderen Tabelle als Fremdschlüssel enthält.
Was ist eine 1:n Relation?; Eine 1:n Relation ist eine Relation in der die Tabelle mit der Kardinalität den Primärschlüssel der anderen Tabelle als Fremdschlüssel enthält.
Was ist eine m:n Relation?; Eine n:m Relation ist eine Relation in der eine Hilfstabelle gebildet werden muss die beide Primärschlüssel der Ausgangstabellen enthält.
Was ist die 1. Normalform?; Die 1. Normalform ist eine Relation bei der jedes Attribut einen atomaren Wertebereich hat, und die Relation muss frei von Wiederholungsgruppen sein.
Was ist die 2. Normalform?; Die 2. Normalform ist eine Relation bei der die erste Normalform vorliegt und kein Nichtprimärattribut funktional von einer echten Teilmenge eines Schlüsselkandidaten abhängt.
Was ist die 3. Normalform?; Die 3. Normalform ist eine Relation bei der die 2. NF erfüllt und keine funktionalen Abhängigkeiten der Nichtschlüssel-Attribute untereinander bestehen. Solche Abhängigkeiten bezeichnet man auch als transitive Abhängigkeiten. Weiterhin müssen alle Nichtschlüssel voll funktional abhängig vom Schlüsselattribut sein.
Wieviele Datensätze einer Tabelle dürfen den selben Primärschlüssel-Wert besitzen?; Keine
Was ist referenzielle Integrität?; Referenzielle Integrität ist ein Konzept der Datenbanken, das sicherstellt, dass Beziehungen zwischen Tabellen korrekt sind. Es bedeutet, dass jeder Fremdschlüssel in einer Tabelle auf einen gültigen Primärschlüssel in einer anderen Tabelle verweist. Dadurch werden Dateninkonsistenzen vermieden.
Was ist SQL? SQL ist eine Datenbanksprache
SQL ist eine Abkürzung welchen Begriffs?; Structured Query Language
Was ist Kardinalität?; Kardinalität bezieht sich in der Datenmodellierung auf die Beziehung zwischen zwei Tabellen. Sie beschreibt die Anzahl der zulässigen Entitäten in einer Beziehung. Beispiele für Kardinalitäten sind "eins zu eins", "eins zu viele" oder "viele zu viele". Die Kardinalität beeinflusst, wie Daten in Tabellen referenziert und abgefragt werden können.
Was bedeutet atomar?; Atomar bedeutet, dass jeder Datensatz nicht weiter unterteilt werden kann. Ein atomarer Datensatz enthält alle erforderlichen Informationen, um einen vollständigen und konsistenten Satz von Daten darzustellen. Dies stellt sicher, dass Änderungen an einem Datensatz atomar ausgeführt werden können, was bedeutet, dass sie entweder vollständig ausgeführt werden oder gar nicht. Dadurch wird die Datenintegrität gewährleistet.
