OSI ist die Abkürzung des Begriffs?; Open System Interconnection
Was ist OSI?; OSI ist ein Referenzmodell für herstellerunabhängige Kommunikationssysteme.
Was ist die Bitübertragungsschicht des OSI-Modells? (engl.: Physical layer); Die Bitübertragung ist zuständig für den physikalischen Transport der digitalen Informationen.
Was ist die Datensicherungschicht des OSI-Modells? (engl.: Link layer); Die Datensicherung ist zuständig für den unverfälschten Datentransport über einen einzelnen Übermittlungsabschnitt.
Was ist die Vermittlungsschict des OSI-Modells? (engl.: Network layer); Die Vermittlung ist zuständig für die Überbrückung geografischer Entfernungen zwischen den Endsystemen durch Einbeziehung von Vermittlungssystemen.
Was ist die Transportschicht des OSI-Modells? (engl.: Transport layer); Der Transport ist zuständig für die Erweiterung von Verbindungen zwischen Endsystemen zu Teilnehmerverbindungen.
Was ist die Sitzungsschicht des OSI-Modells? (engl.: Session layer); Die Sitzung ist zuständig für den geordneten Ablauf des Dialogs zwischen den Endsystemen.
Was ist die Darstellungsschicht des OSI-Modells? (engl.: Session layer); Die Darstellung ist zuständig für den gemeinsamen Zeichensatz und die gemeinsame Syntax.
Was ist die Anwendungsschicht des OSI-Modells? (engl.: Application layer); Die Anwendung ist zuständig für die Steuerung der untergeordneten Schichten.
In wievielen Schichten ist das OSI-Referenzmodell unterteilt?; Das OSI-Referenzmodell ist in sieben Schichten unterteilt.
Welche Schichten des OSI-Referenzmodells sind transportorientiert?; Die Schichten 1 bis 4 des OSI-Referenzmodells sind transportorientiert.
Welche Schichten des OSI-Referenzmodells sind anwendungsorientiert?; Die Schichten 5 bis 7 des OSI-Referenzmodells sind anwendungsorientiert.
Was ist nicht im OSI-Referenzmodell festgelegt?; Im OSI-Referenzmodell ist das Übertragungsmedium nicht festgelegt.
Wie heißt die erste Schicht des OSI-Referenzmodells?; Die erste Schicht des OSI-Referenzmodells heißt Bitübertragung (engl.: Physical).
Wie heißt die zweite Schicht des OSI-Referenzmodells?; Die zweite Schicht des OSI-Referenzmodells heißt Sicherung (engl.: Link).
Wie heißt die dritte Schicht des OSI-Referenzmodells?; Die dritte Schicht des OSI-Referenzmodells heißt Vermittlung (engl.: Network).
Wie heißt die vierte Schicht des OSI-Referenzmodells?; Die vierte Schicht des OSI-Referenzmodells heißt Transport (engl.: Transport).
Wie heißt die fünfte Schicht des OSI-Referenzmodells?; Die fünfte Schicht des OSI-Referenzmodells heißt Sitzung (engl.: Session).
Wie heißt die sechste Schicht des OSI-Referenzmodells?; Die sechste Schicht des OSI-Referenzmodells heißt Darstellung (engl.: Presentation).
Wie heißt die siebte Schicht des OSI-Referenzmodells?; Die siebte Schicht des OSI-Referenzmodells heißt Anwendung (engl.: Application).
In welche zwei Unterschichten wird die Sicherung (engl.: Link) des OSI-Referenzmodells unterteilt?; Die Sicherung (engl.: Link) des OSI-Referenzmodells wird in LLC und MAC unterteilt.
CAN ist die Abkürzung des Begriffs?; Controller Area Network
PAN ist die Abkürzung des Begriffs?; Personal Area Network
LAN ist die Abkürzung des Begriffs?; Local Area Network
MAN ist die Abkürzung des Begriffs?; Metropolitan Area Network
WAN ist die Abkürzung des Begriffs?; Wide Area Network
Was ist CAN?; CAN ist ein Netzwerk mit einer Ausdehnung von ca. 1 Meter.
Was ist PAN?; PAN ist ein Netzwerk im Heimbereich.
