Welche Nachteile können entstehen, wenn mehr als 20 Virtuelle Maschinen auf einem Host ausgeführt werden?;Keine wenn der Host genügend Perfomance hat, denn so ist er sehr gut ausgelastet.
Welche Virtualisierungarten gibt es?; "- Server-Virtualisierung
- Netzwerkvirtualisierung
- Storagevirtualisierung"
Um die Kosteneinsparung nachzuweisen erhalten Sie die Aufgabe, nach folgenden Angaben die Gesamtkosten 
(ohne Berücksichtigung der Klimaleistung und sonstiger PC-und Netzwerkkomponenten) 
für Anschaffung und Betrieb über die Dauer von 5 Jahren zu berechnen. 
Berechnen Sie hier die Kosten für die Variante mit physischen Servern.
"Wie sieht die Berechnung für die Gesamtkosten (Anschaffung und Betrieb über x Jahre) aus wenn folgendes gegeben ist: 
- Anzahl Server
- Anschaffungspreis pro Server
- Leistung pro Server
- Preis pro kWh
- Betriebsdauer"; "Anschaffungskosten = Anzahl Server * Anschaffungspreis pro Server
Laufende Betriebskosten = Leistung pro Server * Betriebsdauer * Preis pro kWh
Gesamtkosten = Anschaffungskosten + Laufende Betriebskosten * x Jahre"
Unter welchen Bedingungen ist eine Thin Client-Lösung wirtschaftlicher als eine Lösung mit vollwertigen PC's?;Wenn Einsparungen bei Anschaffung und Betrieb der Thin-Clients die Mehrkosten durch die Virtualisierungsserver überschreiten 
Eine Virtuelle-Maschine, soll ohne grafische Benutzeroberfläche (GUI) installiert werden. Welche Vorteile hat diese Vorgehensweise?;"-System Ressourcen werden eingespart.
-Es sind mehr Virtuelle-Maschinen auf dem Host installierbar."
Welche Virtualisierungsart benötigt kein vollwertiges Host-Betriebssystem?;Bare Metal
Welche 2 Probleme hat ein Rechenzentrum hauptsächlich zu lösen?;"- Sichere Bereitstellung der notwendigen Energie
- Eine ausreichende Abfuhr der entstehenden Wärme zu gewärleisten"
Welche Punkte sollten mit Blick auf GreenIT bei der Anschaffung neuer Hardware beachtet werden?;"- Recyclingfähigkeit
- Niedriger Energieverbrauch
- Langlebigkeit
- Ressourcenschonende Produktion"
Was sind KEINE Aufgaben eines Hypervisors?;"- Steigerung der Performance des Host-Systems
- Vergrößerung des verfügbaren Arbeitsspeichers im Host-System"
Was sind die Aufgaben eines Hypervisors? "- Bereitstellung virtueller Hardware für die Gastsysteme
- Erzeugung einer Abstraktionsschicht
- Steuerung der Ressourcenzuweisung für die Gastsysteme"
Was sind die drei wesentlich schädlichen Effekte bei der IT?; "- Verbrauch von Energie bei der Herstellung und im Betrieb
- Hoher Ressourcenverbrauch bei der Produktion
- Emissionen bei der Produktion und in Betrieb"
Zu welcher Gruppe Hypervisor gehört Hyper-V?; Bare Metal
